i	1963	3364	2157	3170
-5n	783	1382	1660	505
my	728	1155	664	1219
great	516	161	433	244
but	335	782	597	520
-6ac	253	404	438	219
not	240	1174	712	702
clean	223	122	175	170
nice	209	174	221	162
comfortable	205	48	147	106
friendly	198	62	139	121
will	195	232	184	243
when	192	587	346	433
time	184	235	180	239
out	175	349	254	270
like	165	279	189	255
night	157	301	266	192
recommend	154	72	89	137
good	153	176	205	124
city	151	66	94	123
bed	150	227	228	149
view	146	100	145	101
really	143	115	122	136
definitely	143	49	67	125
helpful	141	46	122	65
wonderful	139	20	76	83
or	135	248	208	175
can	134	140	168	106
get	133	305	224	214
could	133	239	184	188
best	133	47	82	98
about	131	265	214	182
only	126	225	192	159
area	126	77	99	104
even	125	257	186	196
has	124	99	125	98
beautiful	124	27	61	90
back	123	206	156	173
got	123	201	166	158
excellent	120	21	96	45
some	119	174	144	149
business	118	93	97	114
-2m	116	195	247	64
everything	116	61	87	90
up	115	371	245	241
restaurant	114	65	96	83
desk	110	311	221	200
next	108	163	127	144
downtown	106	62	64	104
more	105	189	132	162
bathroom	105	170	171	104
experience	103	166	89	180
perfect	101	4	52	53
loved	100	11	53	58
what	99	227	151	175
first	99	183	133	149
go	99	138	117	120
made	98	157	113	142
after	97	296	167	226
breakfast	97	84	125	56
enjoyed	97	4	41	60
than	96	173	128	141
husband	96	67	49	114
bar	95	91	120	66
food	94	101	74	121
no	93	412	313	192
check	93	188	150	131
front	92	244	175	161
shopping	92	22	70	44
spacious	92	9	57	44
other	91	173	157	107
trip	91	74	74	91
away	89	70	78	81
amazing	89	11	31	69
right	88	78	91	75
lobby	87	136	143	80
home	87	35	45	77
floor	86	124	165	45
beds	86	80	88	78
visit	86	38	40	84
two	85	177	152	110
weekend	85	83	71	97
staying	82	129	75	136
ever	80	79	55	104
free	79	87	108	58
nights	79	76	100	55
-1d	79	68	125	22
suite	78	63	70	71
walking	78	21	66	33
highly	78	16	43	51
most	76	71	63	84
did	75	303	191	187
didn	75	176	131	120
walk	75	44	87	32
large	73	37	82	28
much	72	146	105	113
close	72	42	71	43
modern	72	23	36	59
too	71	109	89	91
fantastic	71	5	38	38
because	68	177	123	122
say	68	120	85	103
many	68	83	91	60
been	67	219	129	157
feel	67	53	55	65
do	66	164	109	121
wife	66	73	50	89
concierge	66	38	76	28
dinner	66	30	44	52
restaurants	65	19	50	34
family	64	52	42	74
mile	63	14	49	28
price	60	117	91	86
overall	60	70	52	78
little	60	59	68	51
felt	60	50	45	65
omni	60	39	43	56
distance	60	13	49	24
way	59	111	75	95
located	59	36	38	57
always	59	27	50	36
ave	59	14	65	8
any	58	131	85	104
make	58	119	67	110
water	58	113	102	69
hard	58	96	61	93
internet	58	76	74	60
extremely	58	46	53	51
over	57	147	109	95
ve	57	65	71	51
tv	57	49	66	40
better	56	151	105	102
take	56	80	75	61
want	56	76	63	69
recently	56	63	29	90
rock	56	58	42	72
need	56	57	70	43
park	56	41	48	49
pool	55	69	61	63
never	54	187	135	106
around	54	90	62	82
few	54	67	65	56
booked	53	116	107	62
where	53	75	63	65
big	53	40	54	39
found	52	129	73	108
before	52	118	84	86
looking	52	86	45	93
hilton	52	85	45	92
return	52	33	43	42
he	51	164	118	97
went	51	147	72	126
who	51	105	81	75
high	51	67	54	64
such	51	51	48	54
top	51	48	59	40
huge	51	23	50	24
within	51	21	49	23
views	51	13	35	29
ambassador	50	29	27	52
down	49	169	109	109
being	49	80	66	63
its	49	71	61	59
anyone	49	49	26	72
see	49	46	50	45
rate	49	44	74	19
able	49	44	43	50
east	49	30	28	51
king	48	61	55	54
coffee	48	57	77	28
talbott	48	41	43	46
morning	47	99	89	57
going	47	93	62	78
last	47	76	65	58
absolutely	47	27	32	42
river	47	17	54	10
lake	47	10	42	15
people	46	110	85	71
both	46	56	63	39
amenities	46	40	33	53
luxurious	46	16	10	52
navy	46	8	36	18
small	45	107	108	44
find	45	97	60	82
how	45	81	48	78
sure	45	39	47	37
suites	45	37	26	56
everyone	45	18	35	28
pier	45	9	36	18
magnificent	45	9	30	24
door	44	118	102	60
off	44	116	94	66
quite	44	72	65	51
especially	44	34	36	42
love	44	16	37	23
work	43	106	69	80
don	43	94	84	53
during	43	53	48	48
couldn	43	53	37	59
bit	43	49	59	33
lot	43	36	45	34
friends	43	23	34	32
blocks	43	9	48	4
screen	43	7	23	27
into	42	118	58	102
shower	42	94	91	45
worth	42	53	48	47
luxury	42	53	8	87
places	42	24	30	36
tower	42	22	33	31
easy	42	14	30	26
flat	42	8	23	27
took	41	119	62	98
impressed	41	23	32	32
m	40	67	57	50
since	40	56	54	42
through	40	46	56	30
monaco	40	28	26	42
access	40	26	36	30
vacation	40	23	8	55
quiet	40	17	47	10
atmosphere	40	5	11	34
arrived	39	150	76	113
long	39	90	56	73
decided	39	73	33	79
come	39	54	46	47
wanted	39	50	32	57
then	38	130	97	71
though	38	87	65	60
sheraton	38	35	29	44
sofitel	38	32	27	43
center	38	25	25	38
gym	38	15	29	24
left	37	89	64	62
enough	37	56	43	50
street	37	48	71	14
deal	37	42	56	23
needed	37	33	32	38
dining	37	17	16	38
spa	37	15	10	42
fun	37	13	21	29
elegant	37	8	14	31
she	36	142	90	88
think	36	81	67	50
guests	36	73	60	49
parking	36	59	62	33
guest	36	58	43	51
reviews	36	36	60	12
fitness	36	24	21	39
avenue	36	11	38	9
however	35	83	58	60
look	35	56	40	51
pillows	35	31	40	26
decor	35	29	31	33
complimentary	35	27	31	31
town	35	27	30	32
wine	35	18	27	26
upon	34	79	48	65
use	34	75	63	46
days	34	58	50	42
millennium	34	40	11	63
knickerbocker	34	32	25	41
pleasant	34	23	26	31
fabulous	34	3	24	13
them	33	166	92	107
new	33	76	53	56
know	33	68	48	53
size	33	34	39	28
walked	33	31	25	39
minute	33	11	31	13
asked	32	140	94	78
another	32	140	85	87
customer	32	70	46	56
quality	32	62	40	54
conrad	32	60	38	54
anything	32	56	41	47
travel	32	40	45	27
swissotel	32	38	37	33
relaxing	32	14	10	36
delicious	32	1	9	24
checked	31	105	57	79
came	31	103	66	68
thing	30	65	48	47
d	30	64	41	53
week	30	50	46	34
visiting	30	19	16	33
quick	30	14	17	27
convenient	30	9	23	16
gorgeous	30	4	12	22
having	29	58	44	43
used	29	54	45	38
must	29	40	31	38
without	29	39	43	25
three	29	39	37	31
special	29	36	30	35
each	29	29	36	22
meeting	29	21	18	32
decorated	29	8	16	21
attractions	29	7	15	21
extra	28	49	34	43
different	28	41	36	33
affinia	28	34	20	42
enjoy	28	22	18	32
eat	28	19	25	22
awesome	28	7	20	15
still	27	85	71	41
thought	27	57	40	44
conference	27	51	55	23
year	27	40	47	20
itself	27	38	27	38
near	27	28	28	27
homewood	27	23	16	34
wedding	27	23	15	35
cool	27	21	34	14
kids	27	21	16	32
happy	27	15	20	22
liked	27	13	17	23
favorite	27	7	14	20
wait	26	96	49	73
re	26	59	50	35
offer	26	51	30	47
short	26	37	30	33
leave	26	29	20	35
etc	26	28	44	10
choice	26	23	23	26
warm	26	21	21	26
greeted	26	21	17	30
corner	26	20	31	15
lovely	26	12	27	11
art	26	10	21	15
buffet	26	9	27	8
pleased	26	9	12	23
reasonable	26	7	13	20
star	25	70	66	29
give	25	49	33	41
full	25	48	49	24
far	25	47	30	42
four	25	35	33	27
expensive	25	31	33	23
building	25	30	37	18
ll	25	30	24	31
provided	25	17	22	20
including	25	14	29	10
polite	25	6	13	18
professional	25	4	14	15
minutes	24	138	75	87
available	24	78	38	64
paid	24	73	60	37
old	24	67	65	26
several	24	62	46	40
things	24	58	42	40
problem	24	49	49	24
end	24	40	37	27
pretty	24	38	34	28
priceline	24	20	44	0
package	24	17	12	29
heart	24	13	11	26
courteous	24	5	14	15
comfy	24	2	21	5
pump	24	2	15	11
gave	23	75	53	45
sleep	23	63	40	46
although	23	52	39	36
tub	23	38	43	18
towers	23	21	15	29
accommodations	23	21	5	39
bathrooms	23	15	26	12
future	23	11	18	16
recommended	23	11	15	19
cozy	23	6	14	15
help	22	54	34	42
part	22	50	39	33
now	22	49	53	18
getting	22	42	34	30
early	22	27	33	16
anniversary	22	27	16	33
couple	22	25	29	18
treated	22	22	18	26
plus	22	19	23	18
drinks	22	16	21	17
those	22	12	19	15
club	22	11	21	12
pet	22	11	5	28
north	22	9	26	5
called	21	178	123	76
reservation	21	139	82	78
nothing	21	103	63	61
bad	21	103	61	63
hour	21	90	40	71
spent	21	35	25	31
reception	21	31	34	18
fine	21	29	25	25
arrival	21	29	25	25
years	21	28	38	11
regency	21	24	6	39
fresh	21	21	19	23
across	21	19	27	13
included	21	17	21	17
own	21	17	11	27
wireless	21	16	15	22
along	21	14	17	18
meal	21	12	8	25
upgraded	21	7	22	6
helped	21	7	7	21
incredible	21	6	14	13
appointed	21	5	22	4
superb	21	2	16	7
seemed	20	101	35	86
noise	20	70	55	35
hot	20	54	43	31
try	20	51	45	26
fact	20	49	35	34
less	20	43	32	31
outside	20	41	34	27
truly	20	20	16	24
friend	20	18	20	18
others	20	17	24	13
evening	20	15	18	17
areas	20	14	21	13
relax	20	14	3	31
feeling	20	9	14	15
moment	20	9	10	19
comfort	20	8	10	18
workout	20	7	10	17
upscale	20	7	9	18
pleasure	20	6	11	15
notch	20	4	15	9
wasn	19	111	67	63
looked	19	100	48	71
towels	19	78	32	65
person	19	60	39	40
car	19	51	45	25
second	19	47	45	21
late	19	47	38	28
offered	19	43	26	36
valet	19	36	35	20
book	19	32	24	27
simply	19	24	21	22
sized	19	16	14	21
plan	19	14	14	19
super	19	12	19	12
kitchen	19	11	15	15
block	19	10	26	3
lots	19	10	23	6
class	19	10	15	14
millenium	19	7	21	5
should	18	82	44	56
done	18	41	26	33
making	18	36	21	33
immediately	18	34	26	26
window	18	32	35	15
windows	18	22	35	5
drink	18	18	22	14
traveling	18	16	14	20
met	18	16	12	22
music	18	9	16	11
thanks	18	7	11	14
lounge	18	6	12	12
attentive	18	3	13	8
said	17	121	87	51
her	17	84	56	45
once	17	70	29	58
times	17	66	52	31
these	17	55	42	30
ready	17	55	27	45
actually	17	52	33	36
open	17	50	57	10
double	17	40	33	24
received	17	39	24	32
kind	17	33	24	26
ordered	17	32	22	27
returned	17	30	37	10
entire	17	29	22	24
believe	17	28	16	29
mini	17	21	28	10
show	17	21	20	18
cab	17	19	30	6
knew	17	18	14	21
bath	17	17	22	12
surprised	17	16	15	18
needs	17	16	14	19
quickly	17	15	15	17
seen	17	14	15	16
nearby	17	13	18	12
life	17	13	12	18
style	17	8	13	12
touch	17	6	15	8
fast	17	6	9	14
classy	17	6	5	18
living	17	5	12	10
indoor	17	5	1	21
museum	17	2	9	10
call	16	106	81	41
given	16	66	35	47
requested	16	62	46	32
else	16	59	28	47
almost	16	55	32	39
expect	16	51	28	39
reservations	16	40	25	31
ask	16	38	25	29
per	16	33	33	16
whole	16	33	19	30
above	16	31	31	16
expectations	16	29	22	23
yet	16	29	19	26
kept	16	28	19	25
name	16	25	22	19
space	16	23	25	14
myself	16	20	14	22
choose	16	18	22	12
probably	16	18	21	13
menu	16	16	14	18
dog	16	15	4	27
thank	16	13	15	14
doorman	16	12	26	2
plenty	16	9	14	11
easily	16	8	14	10
pets	16	5	2	19
welcoming	16	4	9	11
something	15	65	39	41
website	15	61	29	47
air	15	59	32	42
least	15	50	33	32
coming	15	35	20	30
may	15	29	28	16
forward	15	27	13	29
property	15	22	29	8
busy	15	22	18	19
prices	15	22	8	29
level	15	20	20	15
bedding	15	15	14	16
standard	15	14	16	13
bedroom	15	13	18	10
welcome	15	13	12	16
slept	15	11	17	9
furnished	15	10	11	14
local	15	9	7	17
offers	15	6	7	14
separate	15	5	17	3
eating	15	5	10	10
ipod	15	4	9	10
shops	15	3	13	5
definately	15	1	13	3
phone	14	98	71	41
pay	14	72	38	48
expected	14	61	26	49
line	14	47	45	16
cost	14	34	30	18
downstairs	14	27	20	21
inside	14	26	16	24
yes	14	19	25	8
daughter	14	19	22	11
stop	14	19	18	15
live	14	17	17	14
beyond	14	16	14	16
longer	14	15	14	15
negative	14	13	19	8
speed	14	11	5	20
ate	14	10	16	8
traveler	14	10	13	11
design	14	10	10	14
visited	14	9	7	16
rates	14	8	11	11
soft	14	7	7	14
safe	14	6	13	7
windy	14	6	3	17
added	14	5	13	6
plasma	14	2	9	7
immaculate	14	2	8	8
terrific	14	1	10	5
beautifully	14	1	2	13
hancock	14	0	14	0
spotless	14	0	8	6
hours	13	64	28	49
let	13	50	33	30
problems	13	49	34	28
elevator	13	43	46	10
construction	13	40	47	6
wouldn	13	38	32	19
won	13	34	21	26
saw	13	33	27	19
tired	13	32	17	28
soon	13	29	10	32
care	13	28	26	15
certainly	13	28	14	27
chose	13	27	21	19
bring	13	27	20	20
side	13	26	25	14
services	13	25	12	26
employees	13	24	20	17
read	13	20	27	6
mention	13	20	11	22
pillow	13	19	9	23
hand	13	18	14	17
queen	13	18	12	19
makes	13	16	14	15
world	13	15	15	13
romantic	13	14	7	20
member	13	13	14	12
wish	13	11	10	14
entrance	13	10	17	6
taxi	13	10	15	8
seeing	13	9	8	14
loop	13	7	18	2
neighborhood	13	6	15	4
accommodating	13	6	10	9
massage	13	6	2	17
grant	13	4	12	5
spectacular	13	2	5	10
products	13	1	11	3
coast	13	1	9	5
charge	12	67	56	23
housekeeping	12	51	40	23
furniture	12	39	27	24
bags	12	34	15	31
set	12	32	25	19
completely	12	29	19	22
throughout	12	26	22	16
maid	12	21	17	16
five	12	20	17	15
site	12	20	15	17
house	12	19	16	15
getaway	12	18	11	19
real	12	14	13	13
value	12	13	22	3
bell	12	9	14	7
larger	12	7	18	1
