affinia	0.09	-2.75	0.1	0.35
worst	-1.91	-0.79	0.98	0.31
hotels	0.4	-0.01	0.11	0.07
stayed	0.55	0.42	0.07	0.03
life	0.0	0.0	0.0	0.0
treated	0.27	0.0	0.14	0.0
guest	-0.01	0.0	0.15	0.0
desk	0.93	-0.87	0.48	0.09
unaccommodating	0.0	0.0	0.05	0.05
asked	-0.52	-0.11	0.56	0.09
smoke	-0.67	-0.91	0.76	0.44
free	0.0	2.21	0.0	0.33
error	-0.89	0.0	0.89	0.01
reservation	-0.78	0.0	0.78	0.0
no	-0.68	0.67	0.62	0.26
bellhop	0.02	-0.0	0.01	0.01
strange	0.0	0.0	0.01	0.01
reason	0.04	-0.02	0.42	0.01
move	-0.74	0.0	0.81	0.0
luggage	-1.57	0.0	0.83	0.0
elevator	-1.59	1.24	0.54	0.62
long	-1.65	0.86	0.42	0.12
hallway	-0.97	0.0	0.97	0.0
wasn	0.0	0.0	0.71	0.0
bad	-1.44	0.0	0.69	0.0
ordered	0.75	-0.74	0.26	0.21
half	-0.68	0.0	0.71	0.0
delivered	0.26	1.1	0.3	0.37
air	0.57	-0.15	0.62	0.25
conditioning	0.0	-0.01	0.75	0.42
completely	-0.0	0.0	0.31	0.0
miserable	0.0	-0.02	0.86	0.01
traveling	-0.39	-0.67	0.21	0.29
kind	1.11	0.0	0.23	0.0
business	0.43	0.0	0.11	0.0
hope	-0.53	-0.03	0.53	0.01
decide	-0.01	-0.03	0.01	0.01
choose	0.0	0.96	0.0	0.21
surprised	0.0	0.0	0.0	0.0
city	1.52	-1.3	0.39	0.09
definitely	2.13	-2.86	0.53	0.33
trip	1.11	-0.68	0.14	0.09
negative	0.01	-0.72	0.01	0.35
experience	0.15	-3.52	0.2	0.27
affina	0.0	0.03	0.01	0.01
dissappointed	0.0	-0.05	0.05	0.05
arrived	-1.09	0.79	0.57	0.18
clerk	-2.62	-0.67	0.88	0.38
slow	-1.46	0.0	0.74	0.0
checking	-0.58	0.0	0.61	0.0
feel	0.15	-0.15	0.05	0.08
